['0', 'registered', 'signal', 'handlers', 'for', '[term', 'hup', 'int]', ['registered', 'signal', 'handlers', 'for', '[term', 'hup', 'int]'], 'E0']
['921', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000043_1128'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000043', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['922', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000040_1125'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000040', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['925', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000042_1127'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000042', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['927', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000041_1126'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000041', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['959', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000083_1138'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000083', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['961', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000084_1141'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000084', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['962', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000080_1135'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000080', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['965', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000082_1137'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000082', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['967', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000081_1136'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000081', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['991', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000124_1151'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000124', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['1004', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000120_1145'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000120', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['1006', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000122_1147'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000122', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['1007', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000121_1146'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000121', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['1009', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000123_1150'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000123', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['1031', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000160_1155'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000160', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['1038', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000163_1158'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000163', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['1040', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000164_1159'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000164', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['1048', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000162_1157'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000162', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['1050', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0024_m_000161_1156'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000161', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['1083', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0025_m_000004_1199'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/2/_temporary/0/task_201706092018_0025_m_000004', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['1086', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0025_m_000003_1198'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/2/_temporary/0/task_201706092018_0025_m_000003', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['1088', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0025_m_000000_1166'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/2/_temporary/0/task_201706092018_0025_m_000000', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['1090', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0025_m_000002_1194'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/2/_temporary/0/task_201706092018_0025_m_000002', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['1091', 'saved', 'output', 'of', 'task', "'attempt_201706092018_0025_m_000001_1180'", 'to', 'hdfs://10.10.34.11:9000/pjhe/test/2/_temporary/0/task_201706092018_0025_m_000001', ['saved', 'output', 'of', 'task', ' <*>', 'to', ' <*>'], 'E6']
['1', 'changing', 'view', 'acls', 'to:', 'yarn', 'curi', ['changing', 'view', 'acls', 'to:', 'yarn', 'curi'], 'E7']
['4', 'changing', 'view', 'acls', 'to:', 'yarn', 'curi', ['changing', 'view', 'acls', 'to:', 'yarn', 'curi'], 'E7']
['2', 'changing', 'modify', 'acls', 'to:', 'yarn', 'curi', ['changing', 'modify', 'acls', 'to:', 'yarn', 'curi'], 'E8']
['5', 'changing', 'modify', 'acls', 'to:', 'yarn', 'curi', ['changing', 'modify', 'acls', 'to:', 'yarn', 'curi'], 'E8']
['9', 'remoting', 'started;', 'listening', 'on', 'addresses', ':[akka.tcp://sparkexecutoractorsystem@mesos-slave-07:55904]', ['remoting', 'started;', 'listening', 'on', 'addresses', ':[akka.tcp://sparkexecutoractorsystem@mesos-slave-07:55904]'], 'E9']
['12', 'memorystore', 'started', 'with', 'capacity', '17.7', 'gb', ['memorystore', 'started', 'with', 'capacity', '17.7', 'gb'], 'E10']
['34', 'partition', 'rdd_2_1', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['35', 'partition', 'rdd_2_3', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['36', 'partition', 'rdd_2_0', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['37', 'partition', 'rdd_2_2', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['38', 'partition', 'rdd_2_4', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['165', 'partition', 'rdd_6_4', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['166', 'partition', 'rdd_6_3', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['167', 'partition', 'rdd_6_0', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['168', 'partition', 'rdd_6_1', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['169', 'partition', 'rdd_6_2', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['296', 'partition', 'rdd_11_0', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['297', 'partition', 'rdd_11_4', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['298', 'partition', 'rdd_11_3', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['299', 'partition', 'rdd_11_2', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['300', 'partition', 'rdd_11_1', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['427', 'partition', 'rdd_16_0', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['428', 'partition', 'rdd_16_4', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['429', 'partition', 'rdd_16_3', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['430', 'partition', 'rdd_16_2', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['431', 'partition', 'rdd_16_1', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['558', 'partition', 'rdd_21_1', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['559', 'partition', 'rdd_21_4', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['560', 'partition', 'rdd_21_3', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['561', 'partition', 'rdd_21_2', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['562', 'partition', 'rdd_21_0', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['689', 'partition', 'rdd_26_0', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['690', 'partition', 'rdd_26_4', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['691', 'partition', 'rdd_26_3', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['692', 'partition', 'rdd_26_2', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['693', 'partition', 'rdd_26_1', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['791', 'partition', 'rdd_30_0', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['792', 'partition', 'rdd_30_4', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['793', 'partition', 'rdd_30_3', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['794', 'partition', 'rdd_30_2', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['795', 'partition', 'rdd_30_1', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['1112', 'partition', 'rdd_42_0', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['1115', 'partition', 'rdd_42_4', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['1117', 'partition', 'rdd_42_3', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['1119', 'partition', 'rdd_42_2', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['1121', 'partition', 'rdd_42_1', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['1142', 'partition', 'rdd_42_5', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['1158', 'partition', 'rdd_42_6', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['1160', 'partition', 'rdd_42_7', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['1162', 'partition', 'rdd_42_8', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['1164', 'partition', 'rdd_42_9', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['1180', 'partition', 'rdd_42_10', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['1196', 'partition', 'rdd_42_11', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['1200', 'partition', 'rdd_42_12', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['1202', 'partition', 'rdd_42_13', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['1204', 'partition', 'rdd_42_14', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['1220', 'partition', 'rdd_42_15', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['1232', 'partition', 'rdd_42_16', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['1236', 'partition', 'rdd_42_17', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
['1242', 'partition', 'rdd_42_18', 'not', 'found', 'computing', 'it', ['partition', ' <*>', 'not', 'found', 'computing', 'it'], 'E11']
