LineId,Date,Time,Level,Component,Content,template,template_num
17,2016-09-28,04:30:31,Info,CSI,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90","['00000004', 'iadvancedinstallerawarestore_resolvependingtransactions', '(flags', '00000004', 'progress', 'null', 'phase', '0', 'pdwdisposition', ' <*>']",E37
18,2016-09-28,04:30:31,Info,CSI,"00000005 Creating NT transaction (seq 1), objectname [6]""(null)""","[' <*>', 'creating', 'nt', 'transaction', 'objectname', '[6]""""']",E41
19,2016-09-28,04:30:31,Info,CSI,"00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214","[' <*>', 'created', 'nt', 'transaction', 'result', '0x00000000', 'handle', ' <*>']",E45
20,2016-09-28,04:30:31,Info,CSI,00000007@2016/9/27:20:30:31.462 CSI perf trace:,"[' <*>', 'csi', 'perf', 'trace:']",E6
21,2016-09-28,04:30:31,Info,CBS,"NonStart: Success, startup processing not required as expected.","['nonstart:', 'success', 'startup', 'processing', 'not', 'required', 'as', 'expected.']",E46
22,2016-09-28,04:30:31,Info,CBS,Startup processing thread terminated normally,"['startup', 'processing', 'thread', 'terminated', 'normally']",E20
23,2016-09-28,04:30:31,Info,CSI,00000008 CSI Store 4991456 (0x00000000004c29e0) initialized,"[' <*>', 'csi', 'store', ' <*>', 'initialized']",E21
24,2016-09-28,04:30:31,Info,CBS,Session: 30546173_4261722401 initialized by client WindowsUpdateAgent.,"['session:', ' <*>', 'initialized', 'by', 'client', 'windowsupdateagent.']",E42
25,2016-09-28,04:30:31,Info,CBS,Session: 30546173_4262462443 initialized by client WindowsUpdateAgent.,"['session:', ' <*>', 'initialized', 'by', 'client', 'windowsupdateagent.']",E42
26,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
27,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
28,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
29,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
30,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
31,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
32,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
33,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
34,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
35,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
36,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
37,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
38,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
39,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
40,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
41,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
42,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
43,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
44,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
45,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
46,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
47,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
48,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
49,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
50,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
51,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
52,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
53,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
54,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
55,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
56,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
57,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
58,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
59,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
60,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
61,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
62,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
63,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
64,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
65,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
66,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
67,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
68,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
69,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
70,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
71,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
72,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
73,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
74,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
75,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
76,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
77,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
78,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
79,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
80,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
81,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
82,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
83,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
84,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
85,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
86,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
87,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
88,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
89,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
90,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
91,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
92,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
93,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
94,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
95,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
96,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
97,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
98,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
99,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
100,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
101,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
102,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
103,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
104,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
105,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
106,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
107,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
108,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
109,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
110,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
111,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
112,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
113,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
114,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
115,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
116,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
117,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
118,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
119,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
120,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
121,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
122,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
123,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
124,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
125,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
126,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
127,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E3
128,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],"['failed', 'to', 'get', 'next', 'element', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]']",E27
129,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,"['warning:', 'unrecognized', 'packageextended', 'attribute.']",E7
