['0', 'loaded', 'servicing', 'stack', 'v6.1.7601.23505', 'with', 'core:', 'c:\\windows\\winsxs\\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\\cbscore.dll', ['loaded', 'servicing', 'stack', 'v6.1.7601.23505', 'with', 'core:', 'c:\\windows\\winsxs\\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\\cbscore.dll'], 'E0']
['58', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['61', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['65', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['68', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['71', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['74', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['78', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['81', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['84', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['87', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['91', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['94', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['97', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['100', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['104', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['107', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['110', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['113', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['117', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['120', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['123', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['126', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['134', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['137', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['140', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['143', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['147', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['150', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['153', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['156', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['160', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['163', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['166', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['169', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['173', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['176', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['179', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['182', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['186', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['189', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['192', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['195', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['199', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['202', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['205', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['208', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['212', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['215', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['218', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['221', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['225', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['228', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['231', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['234', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['239', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['242', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['245', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['248', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['252', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['255', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['258', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['261', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['265', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['268', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['271', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['274', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['278', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['281', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['284', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['287', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['291', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['294', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['297', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['300', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['304', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['307', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['310', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['313', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['317', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['320', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['323', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['326', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['330', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['333', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['336', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['339', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['991', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['994', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['997', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['1000', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['1004', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['1007', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['1010', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['1013', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['1017', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['1020', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['1023', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['1026', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['1030', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['1033', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['1036', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['1039', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
['1043', 'expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]', ['expecting', 'attribute', 'name', '[hresult', '0x800f080d', '-', 'cbs_e_manifest_invalid_item]'], 'E3']
