['0', 'notification', 'time', 'out:', '3200', ['notification', 'time', 'out:', ' <*>'], 'E0']
['229', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['232', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['236', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['238', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['240', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['242', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['243', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['247', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['251', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['258', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['261', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['265', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['271', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['280', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['282', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['284', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['289', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['293', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['298', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['304', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['305', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['309', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['319', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['320', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['321', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['326', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['341', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['352', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['357', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['359', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['362', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['365', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['374', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['386', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['393', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['402', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['407', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['410', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['411', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['412', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['413', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['414', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['429', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['432', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['437', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['444', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['449', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['452', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['458', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['460', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['464', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['467', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['472', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['477', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['795', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['796', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['801', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['804', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['807', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['818', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['827', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['841', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['850', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['862', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['863', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['866', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['868', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['874', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['878', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['881', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['902', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['904', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['906', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['907', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['910', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['912', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['914', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['917', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['919', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['922', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['923', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['931', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['932', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['937', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['939', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['945', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['953', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['960', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['962', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['967', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['970', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['973', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['987', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['988', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['989', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['995', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1011', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1012', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1013', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1020', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1023', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1025', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1026', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1035', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1038', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1046', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1048', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1052', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1059', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1063', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1068', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1070', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1087', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1097', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1100', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1108', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1110', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1115', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1119', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1124', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1127', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1129', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1132', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1137', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1138', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1145', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1152', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1157', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1161', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1169', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1180', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1185', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1187', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1188', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1197', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1202', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1206', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1207', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1224', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1240', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1243', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1244', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1251', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1254', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1264', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1467', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1468', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1469', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1472', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1473', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1481', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1483', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1486', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1488', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1491', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1498', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1502', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1508', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1515', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1517', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1518', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1521', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1522', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1523', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1526', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1528', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1529', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1535', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1536', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1538', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1545', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1547', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1548', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1551', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1555', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1559', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1565', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1568', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1572', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1587', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1592', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1595', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1597', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1606', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1612', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1625', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1639', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1642', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1664', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1673', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1675', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1677', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1680', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1684', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1685', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1704', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1720', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1725', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1728', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1733', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1735', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1742', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
['1749', 'send', 'worker', 'leaving', 'thread', ['send', 'worker', 'leaving', 'thread'], 'E1']
