LineId,Month,Date,Time,Level,Component,PID,Content,template,template_num
11,Jun,15,02:04:59,combo,sshd(pam_unix),20896,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>', 'user', 'root']",E19
12,Jun,15,02:04:59,combo,sshd(pam_unix),20897,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>', 'user', 'root']",E19
13,Jun,15,02:04:59,combo,sshd(pam_unix),20898,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>', 'user', 'root']",E19
14,Jun,15,04:06:18,combo,su(pam_unix),21416,session opened for user cyrus by (uid=0),"['session', 'opened', 'for', 'user', ' <*>', 'by', '(uid', ' <*>']",E23
15,Jun,15,04:06:19,combo,su(pam_unix),21416,session closed for user cyrus,"['session', 'closed', 'for', 'user', ' <*>']",E27
16,Jun,15,04:06:20,combo,logrotate,,ALERT exited abnormally with [1],"['alert', 'exited', 'abnormally', 'with', '[1]']",E29
17,Jun,15,04:12:42,combo,su(pam_unix),22644,session opened for user news by (uid=0),"['session', 'opened', 'for', 'user', ' <*>', 'by', '(uid', ' <*>']",E23
18,Jun,15,04:12:43,combo,su(pam_unix),22644,session closed for user news,"['session', 'closed', 'for', 'user', ' <*>']",E27
19,Jun,15,12:12:34,combo,sshd(pam_unix),23397,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
20,Jun,15,12:12:34,combo,sshd(pam_unix),23397,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
21,Jun,15,12:12:34,combo,sshd(pam_unix),23395,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
22,Jun,15,12:12:34,combo,sshd(pam_unix),23395,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
23,Jun,15,12:12:34,combo,sshd(pam_unix),23404,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
24,Jun,15,12:12:34,combo,sshd(pam_unix),23404,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
25,Jun,15,12:12:34,combo,sshd(pam_unix),23399,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
26,Jun,15,12:12:34,combo,sshd(pam_unix),23399,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
27,Jun,15,12:12:34,combo,sshd(pam_unix),23406,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
28,Jun,15,12:12:34,combo,sshd(pam_unix),23406,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
29,Jun,15,12:12:34,combo,sshd(pam_unix),23396,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
30,Jun,15,12:12:34,combo,sshd(pam_unix),23394,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
31,Jun,15,12:12:34,combo,sshd(pam_unix),23407,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
32,Jun,15,12:12:34,combo,sshd(pam_unix),23394,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
33,Jun,15,12:12:34,combo,sshd(pam_unix),23403,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
34,Jun,15,12:12:34,combo,sshd(pam_unix),23396,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
35,Jun,15,12:12:34,combo,sshd(pam_unix),23407,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
36,Jun,15,12:12:34,combo,sshd(pam_unix),23403,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
37,Jun,15,12:12:34,combo,sshd(pam_unix),23412,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
38,Jun,15,12:12:34,combo,sshd(pam_unix),23412,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
39,Jun,15,12:13:19,combo,sshd(pam_unix),23414,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
40,Jun,15,12:13:19,combo,sshd(pam_unix),23414,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
41,Jun,15,12:13:20,combo,sshd(pam_unix),23416,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
42,Jun,15,12:13:20,combo,sshd(pam_unix),23416,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
43,Jun,15,14:53:32,combo,sshd(pam_unix),23661,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
44,Jun,15,14:53:32,combo,sshd(pam_unix),23661,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
45,Jun,15,14:53:32,combo,sshd(pam_unix),23663,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
46,Jun,15,14:53:32,combo,sshd(pam_unix),23663,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
47,Jun,15,14:53:32,combo,sshd(pam_unix),23664,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
48,Jun,15,14:53:32,combo,sshd(pam_unix),23664,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
49,Jun,15,14:53:33,combo,sshd(pam_unix),23665,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
50,Jun,15,14:53:33,combo,sshd(pam_unix),23665,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
51,Jun,15,14:53:34,combo,sshd(pam_unix),23669,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
52,Jun,15,14:53:34,combo,sshd(pam_unix),23669,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
53,Jun,15,14:53:35,combo,sshd(pam_unix),23671,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
54,Jun,15,14:53:35,combo,sshd(pam_unix),23671,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
55,Jun,15,14:53:35,combo,sshd(pam_unix),23673,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
56,Jun,15,14:53:35,combo,sshd(pam_unix),23673,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
57,Jun,15,14:53:35,combo,sshd(pam_unix),23674,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
58,Jun,15,14:53:35,combo,sshd(pam_unix),23674,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
59,Jun,15,14:53:36,combo,sshd(pam_unix),23678,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
60,Jun,15,14:53:36,combo,sshd(pam_unix),23678,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
61,Jun,15,14:53:36,combo,sshd(pam_unix),23677,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
62,Jun,15,14:53:36,combo,sshd(pam_unix),23677,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
63,Jun,15,20:05:31,combo,sshd(pam_unix),24138,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
64,Jun,15,20:05:31,combo,sshd(pam_unix),24138,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
65,Jun,15,20:05:31,combo,sshd(pam_unix),24137,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
66,Jun,15,20:05:31,combo,sshd(pam_unix),24137,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
67,Jun,15,20:05:31,combo,sshd(pam_unix),24141,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
68,Jun,15,20:05:31,combo,sshd(pam_unix),24141,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
69,Jun,15,20:05:31,combo,sshd(pam_unix),24140,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
70,Jun,15,20:05:31,combo,sshd(pam_unix),24140,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
71,Jun,15,20:05:31,combo,sshd(pam_unix),24139,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
72,Jun,15,20:05:31,combo,sshd(pam_unix),24139,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
73,Jun,16,04:10:22,combo,su(pam_unix),25178,session opened for user cyrus by (uid=0),"['session', 'opened', 'for', 'user', ' <*>', 'by', '(uid', ' <*>']",E23
74,Jun,16,04:10:23,combo,su(pam_unix),25178,session closed for user cyrus,"['session', 'closed', 'for', 'user', ' <*>']",E27
75,Jun,16,04:10:24,combo,logrotate,,ALERT exited abnormally with [1],"['alert', 'exited', 'abnormally', 'with', '[1]']",E29
76,Jun,16,04:16:17,combo,su(pam_unix),25548,session opened for user news by (uid=0),"['session', 'opened', 'for', 'user', ' <*>', 'by', '(uid', ' <*>']",E23
77,Jun,16,04:16:18,combo,su(pam_unix),25548,session closed for user news,"['session', 'closed', 'for', 'user', ' <*>']",E27
78,Jun,17,04:03:33,combo,su(pam_unix),27953,session opened for user cyrus by (uid=0),"['session', 'opened', 'for', 'user', ' <*>', 'by', '(uid', ' <*>']",E23
79,Jun,17,04:03:34,combo,su(pam_unix),27953,session closed for user cyrus,"['session', 'closed', 'for', 'user', ' <*>']",E27
80,Jun,17,04:03:36,combo,logrotate,,ALERT exited abnormally with [1],"['alert', 'exited', 'abnormally', 'with', '[1]']",E29
81,Jun,17,04:09:43,combo,su(pam_unix),29190,session opened for user news by (uid=0),"['session', 'opened', 'for', 'user', ' <*>', 'by', '(uid', ' <*>']",E23
82,Jun,17,04:09:45,combo,su(pam_unix),29190,session closed for user news,"['session', 'closed', 'for', 'user', ' <*>']",E27
83,Jun,17,07:07:00,combo,ftpd,29504,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,"['connection', 'from', ' <*>', ' <*>', 'at', ' <*>', ' <*>', ' <*>', ' <*>', '2005']",E50
84,Jun,17,07:07:00,combo,ftpd,29508,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,"['connection', 'from', ' <*>', ' <*>', 'at', ' <*>', ' <*>', ' <*>', ' <*>', '2005']",E50
85,Jun,17,07:07:00,combo,ftpd,29507,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,"['connection', 'from', ' <*>', ' <*>', 'at', ' <*>', ' <*>', ' <*>', ' <*>', '2005']",E50
86,Jun,17,07:07:00,combo,ftpd,29505,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,"['connection', 'from', ' <*>', ' <*>', 'at', ' <*>', ' <*>', ' <*>', ' <*>', '2005']",E50
87,Jun,17,07:07:00,combo,ftpd,29506,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,"['connection', 'from', ' <*>', ' <*>', 'at', ' <*>', ' <*>', ' <*>', ' <*>', '2005']",E50
88,Jun,17,07:07:00,combo,ftpd,29509,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,"['connection', 'from', ' <*>', ' <*>', 'at', ' <*>', ' <*>', ' <*>', ' <*>', '2005']",E50
89,Jun,17,07:07:02,combo,ftpd,29510,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:02 2005,"['connection', 'from', ' <*>', ' <*>', 'at', ' <*>', ' <*>', ' <*>', ' <*>', '2005']",E50
90,Jun,17,07:07:04,combo,ftpd,29511,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:04 2005,"['connection', 'from', ' <*>', ' <*>', 'at', ' <*>', ' <*>', ' <*>', ' <*>', '2005']",E50
91,Jun,17,19:43:13,combo,sshd(pam_unix),30565,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.46.224.253  user=guest,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>', 'user', 'guest']",E20
92,Jun,17,20:29:26,combo,sshd(pam_unix),30631,session opened for user test by (uid=509),"['session', 'opened', 'for', 'user', ' <*>', 'by', '(uid', ' <*>']",E23
93,Jun,17,20:34:57,combo,sshd(pam_unix),30631,session closed for user test,"['session', 'closed', 'for', 'user', ' <*>']",E27
94,Jun,17,20:55:06,combo,ftpd,30755,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,"['connection', 'from', ' <*>', ' <*>', 'at', ' <*>', ' <*>', ' <*>', ' <*>', '2005']",E50
95,Jun,17,20:55:06,combo,ftpd,30754,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,"['connection', 'from', ' <*>', ' <*>', 'at', ' <*>', ' <*>', ' <*>', ' <*>', '2005']",E50
96,Jun,17,20:55:06,combo,ftpd,30753,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,"['connection', 'from', ' <*>', ' <*>', 'at', ' <*>', ' <*>', ' <*>', ' <*>', '2005']",E50
97,Jun,17,20:55:06,combo,ftpd,30756,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,"['connection', 'from', ' <*>', ' <*>', 'at', ' <*>', ' <*>', ' <*>', ' <*>', '2005']",E50
98,Jun,17,20:55:06,combo,ftpd,30757,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,"['connection', 'from', ' <*>', ' <*>', 'at', ' <*>', ' <*>', ' <*>', ' <*>', '2005']",E50
99,Jun,17,20:55:07,combo,ftpd,30758,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,"['connection', 'from', ' <*>', ' <*>', 'at', ' <*>', ' <*>', ' <*>', ' <*>', '2005']",E50
100,Jun,17,20:55:07,combo,ftpd,30759,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,"['connection', 'from', ' <*>', ' <*>', 'at', ' <*>', ' <*>', ' <*>', ' <*>', '2005']",E50
101,Jun,18,01:30:59,combo,sshd(pam_unix),31201,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
102,Jun,18,01:30:59,combo,sshd(pam_unix),31201,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
103,Jun,18,01:30:59,combo,sshd(pam_unix),31199,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
104,Jun,18,01:30:59,combo,sshd(pam_unix),31199,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
105,Jun,18,01:30:59,combo,sshd(pam_unix),31198,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
106,Jun,18,01:30:59,combo,sshd(pam_unix),31198,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
107,Jun,18,01:30:59,combo,sshd(pam_unix),31202,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
108,Jun,18,01:30:59,combo,sshd(pam_unix),31202,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
109,Jun,18,01:30:59,combo,sshd(pam_unix),31205,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
110,Jun,18,01:30:59,combo,sshd(pam_unix),31205,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
111,Jun,18,01:30:59,combo,sshd(pam_unix),31200,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
112,Jun,18,01:30:59,combo,sshd(pam_unix),31200,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
113,Jun,18,01:30:59,combo,sshd(pam_unix),31206,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
114,Jun,18,01:30:59,combo,sshd(pam_unix),31206,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
115,Jun,18,01:30:59,combo,sshd(pam_unix),31204,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
116,Jun,18,01:30:59,combo,sshd(pam_unix),31204,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
117,Jun,18,01:30:59,combo,sshd(pam_unix),31203,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
118,Jun,18,01:30:59,combo,sshd(pam_unix),31203,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
119,Jun,18,01:30:59,combo,sshd(pam_unix),31207,check pass; user unknown,"['check', 'pass;', 'user', 'unknown']",E2
120,Jun,18,01:30:59,combo,sshd(pam_unix),31207,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,"['authentication', 'failure;', 'logname', 'uid', '0', 'euid', '0', 'tty', 'nodevssh', 'ruser', 'rhost', ' <*>']",E0
121,Jun,18,02:08:10,combo,ftpd,31272,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,"['connection', 'from', ' <*>', ' <*>', 'at', ' <*>', ' <*>', ' <*>', ' <*>', '2005']",E50
122,Jun,18,02:08:10,combo,ftpd,31273,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,"['connection', 'from', ' <*>', ' <*>', 'at', ' <*>', ' <*>', ' <*>', ' <*>', '2005']",E50
123,Jun,18,02:08:10,combo,ftpd,31274,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,"['connection', 'from', ' <*>', ' <*>', 'at', ' <*>', ' <*>', ' <*>', ' <*>', '2005']",E50
