['0', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['25', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['28', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['30', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['31', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['35', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['36', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['40', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['41', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['42', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['43', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['44', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['45', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['48', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['49', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['50', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['52', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['55', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['57', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['59', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['60', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['62', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['63', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['64', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['65', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['66', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['68', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['71', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['78', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['79', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['80', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['81', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['82', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['84', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['87', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['88', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['89', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['90', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['95', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['96', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['98', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['102', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['105', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['112', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['113', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['120', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['121', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['123', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['125', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['126', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['130', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['133', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['134', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['135', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['136', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['139', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['140', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['141', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['142', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['143', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['144', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['145', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['146', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['147', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['149', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['150', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['163', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['164', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['165', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['166', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['167', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['168', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['169', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['170', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['171', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['173', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['174', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['175', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['177', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['179', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['180', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['181', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['182', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['184', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['186', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['188', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['189', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['190', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['192', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['193', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['195', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['196', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['199', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['200', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['203', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['206', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['208', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['209', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['210', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['211', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['212', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
['214', 'proxy.cse.cuhk.edu.hk:5070', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https', [' <*>', 'open', 'through', 'proxy', 'proxy.cse.cuhk.edu.hk:5070', 'https'], 'E0']
