[CLS] arpt: 620749.901374: iopmpowersource information: onsleep   sleeptype: normal sleep   'externalconnected': yes  'timeremaining': 0 
[CLS] arpt: 621145.554555: iopmpowersource information: onsleep   sleeptype: normal sleep   'externalconnected': yes  'timeremaining': 0 
[CLS] cocoa scripting error for '0x02cc0000': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02d10001': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02770011': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02780026': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x027b0006': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x027e0001': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02801000': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02950006': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x0295001d': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x029f0014': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x029f003a': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02a60001': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02b60001': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02b70006': four character codes must be four characters long.
[CLS] cocoa scripting error for '0x02cb000d': four character codes must be four characters long.
[CLS] 2017-07-05 10:52:16.977 googlesoftwareupdateagent 35861/0x700000323000   lvl=2  - ksprefetchaction performaction  ksprefetchaction no updates to prefetch.
[CLS] - networkanalyticsengine _writejournalrecord:fromcellfingerprint:key:atloi:ofkind:lqm:isfaulty:  hashing of the primary key failed. dropping the journal record.
[CLS] arpt: 724869.297011: iopmpowersource information: onwake   sleeptype: normal sleep   'externalconnected': no  'timeremaining': 4551 
[CLS] 2017-07-05 16:18:06.450 googlesoftwareupdateagent 36128/0x7000002a0000   lvl=2  - ksoutofprocessfetcher beginfetchwithdelegate:  ksoutofprocessfetcher fetching from url: "https://tools.google.com/service/update2?cup2hreq=ac844e04cbb398fcef4cf81b4ffc44a3ebc863e89d19c0b5d39d02d78d26675b&cup2key=7:677488741"
[CLS] device_generate_lock_screen_screenshot: authw 0x7fa82502bc00 0  0  0  0  shield 0x7fa823930c00  dev  1440 900 
[CLS] arpt: 728563.210777: iopmpowersource information: onsleep   sleeptype: normal sleep   'externalconnected': no  'timeremaining': 3174 
[CLS]  accounts  failed to update account with identifier 76fe6715-3d27-4f21-aa35-c88c1ea820e8  error: error domain=abaddressbookerrordomain code=1002 ""
[CLS] arpt: 739549.504820: airport_brcm43xx::powerchange: system wake - full wake/ dark wake / maintenance wake
[CLS] - networkanalyticsengine _writejournalrecord:fromcellfingerprint:key:atloi:ofkind:lqm:isfaulty:  hashing of the primary key failed. dropping the journal record.
[CLS] arpt: 740631.402908: iopmpowersource information: onwake   sleeptype: normal sleep   'externalconnected': no  'timeremaining': 5802 
[CLS]  com.apple.calendar.store.log.caldav.queue   account xpc_ben@163.com@https://caldav.163.com/caldav/principals/users/xpc_ben%40163.com/ timed out when executing operation: <caldavaccountrefreshqueueableoperation: 0x7fa11f9f2290; sequence: 0> 
[CLS] - networkanalyticsengine _writejournalrecord:fromcellfingerprint:key:atloi:ofkind:lqm:isfaulty:  hashing of the primary key failed. dropping the journal record.
[CLS] arpt: 762366.143164: airport_brcm43xx::powerchange: system wake - full wake/ dark wake / maintenance wake
[CLS] arpt: 762484.281874: airport_brcm43xx::powerchange: system wake - full wake/ dark wake / maintenance wake
[CLS] arpt: 762543.171617: iopmpowersource information: onsleep   sleeptype: normal sleep   'externalconnected': yes  'timeremaining': 0 
[CLS] could not get event name for stream/token: com.apple.xpc.activity/4505: 132: request for stale data
[CLS] arpt: 770226.223664: iopmpowersource information: onwake   sleeptype: normal sleep   'externalconnected': yes  'timeremaining': 0 
[CLS] arpt: 770812.035971: airport_brcm43xx::powerchange: system wake - full wake/ dark wake / maintenance wake
[CLS] arpt: 771393.363637: airport_brcm43xx::powerchange: system wake - full wake/ dark wake / maintenance wake
[CLS] arpt: 771631.938256: iopmpowersource information: onsleep   sleeptype: normal sleep   'externalconnected': no  'timeremaining': 9235 
[CLS] - networkanalyticsengine _writejournalrecord:fromcellfingerprint:key:atloi:ofkind:lqm:isfaulty:  hashing of the primary key failed. dropping the journal record.
[CLS] arpt: 783795.288172: airport_brcm43xx::powerchange: system wake - full wake/ dark wake / maintenance wake
[CLS] arpt: 784055.560270: iopmpowersource information: onsleep   sleeptype: normal sleep   'externalconnected': no  'timeremaining': 5600 
[CLS] - networkanalyticsengine _writejournalrecord:fromcellfingerprint:key:atloi:ofkind:lqm:isfaulty:  hashing of the primary key failed. dropping the journal record.
[CLS]  accounts  current connection  <nsxpcconnection: 0x7fda72614240> connection from pid 30318  doesn't have account access.
