['0', 'created', 'mrappmaster', 'for', 'application', 'appattempt_1445144423722_0020_000001', ['created', 'mrappmaster', 'for', 'application', 'appattempt_1445144423722_0020_000001'], 'E0']
['181', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['183', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['188', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['190', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['192', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['194', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['196', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['198', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['200', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['205', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['207', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['209', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['212', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['214', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['216', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['218', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['221', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['224', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['226', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['228', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['233', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['235', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['237', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['240', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['244', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['246', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['249', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['253', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['255', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['257', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['261', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['264', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['266', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['270', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['273', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['275', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['278', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['282', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['284', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['286', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['289', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['295', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['309', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['312', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['319', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['321', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['323', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['328', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['330', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['332', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['335', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['340', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['342', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['345', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['350', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['352', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['355', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['360', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['362', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['364', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['370', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['372', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['374', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['379', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['382', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['384', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['388', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['392', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['394', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['397', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['402', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['405', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['407', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['411', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['415', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['417', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['420', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['425', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['427', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['431', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['435', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['437', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['441', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['445', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['447', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['451', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['455', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['457', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['461', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['465', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['468', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['470', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['475', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['478', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['480', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['484', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['488', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['490', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['493', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['498', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['500', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['502', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['508', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['510', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['515', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['544', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['565', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['570', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['574', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['578', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['580', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['583', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['588', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['593', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['610', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['614', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['623', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['642', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['659', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['668', 'recalculating', 'schedule', 'headroom', '<memory:1024', 'vcores:-26>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['676', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['809', 'recalculating', 'schedule', 'headroom', '<memory:0', 'vcores:-27>', ['recalculating', 'schedule', 'headroom', ' <*>', ' <*>'], 'E7']
['116', 'assigned', 'container', 'container_1445144423722_0020_01_000002', 'to', 'attempt_1445144423722_0020_m_000000_0', ['assigned', 'container', ' <*>', 'to', ' <*>'], 'E8']
['140', 'assigned', 'container', 'container_1445144423722_0020_01_000003', 'to', 'attempt_1445144423722_0020_m_000001_0', ['assigned', 'container', ' <*>', 'to', ' <*>'], 'E8']
['159', 'assigned', 'container', 'container_1445144423722_0020_01_000004', 'to', 'attempt_1445144423722_0020_m_000002_0', ['assigned', 'container', ' <*>', 'to', ' <*>'], 'E8']
['294', 'assigned', 'container', 'container_1445144423722_0020_01_000005', 'to', 'attempt_1445144423722_0020_m_000003_0', ['assigned', 'container', ' <*>', 'to', ' <*>'], 'E8']
['513', 'assigned', 'container', 'container_1445144423722_0020_01_000006', 'to', 'attempt_1445144423722_0020_m_000004_0', ['assigned', 'container', ' <*>', 'to', ' <*>'], 'E8']
['514', 'assigned', 'container', 'container_1445144423722_0020_01_000007', 'to', 'attempt_1445144423722_0020_m_000005_0', ['assigned', 'container', ' <*>', 'to', ' <*>'], 'E8']
['543', 'assigned', 'container', 'container_1445144423722_0020_01_000008', 'to', 'attempt_1445144423722_0020_m_000006_0', ['assigned', 'container', ' <*>', 'to', ' <*>'], 'E8']
['592', 'assigned', 'container', 'container_1445144423722_0020_01_000009', 'to', 'attempt_1445144423722_0020_m_000007_0', ['assigned', 'container', ' <*>', 'to', ' <*>'], 'E8']
['622', 'assigned', 'container', 'container_1445144423722_0020_01_000010', 'to', 'attempt_1445144423722_0020_m_000008_0', ['assigned', 'container', ' <*>', 'to', ' <*>'], 'E8']
['641', 'assigned', 'container', 'container_1445144423722_0020_01_000011', 'to', 'attempt_1445144423722_0020_m_000009_0', ['assigned', 'container', ' <*>', 'to', ' <*>'], 'E8']
['124', 'size', 'of', 'containertokens_dob', 'is', '1', ['size', 'of', 'containertokens_dob', 'is', '1'], 'E9']
['125', 'putting', 'shuffle', 'token', 'in', 'servicedata', ['putting', 'shuffle', 'token', 'in', 'servicedata'], 'E10']
['176', 'auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)', ['auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)'], 'E11']
['185', 'auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)', ['auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)'], 'E11']
['202', 'auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)', ['auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)'], 'E11']
['316', 'auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)', ['auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)'], 'E11']
['558', 'auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)', ['auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)'], 'E11']
['559', 'auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)', ['auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)'], 'E11']
['567', 'auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)', ['auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)'], 'E11']
['616', 'auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)', ['auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)'], 'E11']
['672', 'auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)', ['auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)'], 'E11']
['678', 'auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)', ['auth', 'successful', 'for', 'job_1445144423722_0020', '(auth:simple)'], 'E11']
['805', 'task', 'succeeded', 'with', 'attempt', 'attempt_1445144423722_0020_m_000003_0', ['task', 'succeeded', 'with', 'attempt', 'attempt_1445144423722_0020_m_000003_0'], 'E12']
['1038', 'error', 'writing', 'history', 'event:', 'org.apache.hadoop.mapreduce.jobhistory.taskattemptunsuccessfulcompletionevent@7317849d', ['error', 'writing', 'history', 'event:', 'org.apache.hadoop.mapreduce.jobhistory.taskattemptunsuccessfulcompletionevent@7317849d'], 'E13']
['1040', '1', 'failures', 'on', 'node', 'minint-fnanli5.fareast.corp.microsoft.com', [' <*>', 'failures', 'on', 'node', 'minint-fnanli5.fareast.corp.microsoft.com'], 'E14']
['1067', '2', 'failures', 'on', 'node', 'minint-fnanli5.fareast.corp.microsoft.com', [' <*>', 'failures', 'on', 'node', 'minint-fnanli5.fareast.corp.microsoft.com'], 'E14']
['1', 'executing', 'with', 'tokens:', ['executing', 'with', 'tokens:'], 'E15']
['3', 'using', 'mapred', 'newapicommitter.', ['using', 'mapred', 'newapicommitter.'], 'E16']
['5', 'outputcommitter', 'is', 'org.apache.hadoop.mapreduce.lib.output.fileoutputcommitter', ['outputcommitter', 'is', 'org.apache.hadoop.mapreduce.lib.output.fileoutputcommitter'], 'E17']
['50', 'maxtaskfailurespernode', 'is', '3', ['maxtaskfailurespernode', 'is', '3'], 'E18']
['51', 'blacklistdisablepercent', 'is', '33', ['blacklistdisablepercent', 'is', '33'], 'E19']
['56', 'maxcontainercapability:', '<memory:8192', 'vcores:32>', ['maxcontainercapability:', '<memory:8192', 'vcores:32>'], 'E20']
['59', 'yarn.client.max-cached-nodemanagers-proxies', ':', '0', ['yarn.client.max-cached-nodemanagers-proxies', ':', '0'], 'E21']
['2', 'kind:', 'yarn_am_rm_token', 'service:', 'ident:', '(appattemptid', '{', 'application_id', '{', 'id:', '20', 'cluster_timestamp:', '1445144423722', '}', 'attemptid:', '1', '}', 'keyid:', '-127633188)', ['kind:', 'yarn_am_rm_token', 'service:', 'ident:', '(appattemptid', '{', 'application_id', '{', 'id:', '20', 'cluster_timestamp:', '1445144423722', '}', 'attemptid:', '1', '}', 'keyid:', '-127633188)'], 'E22']
['6', 'registering', 'class', 'org.apache.hadoop.mapreduce.jobhistory.eventtype', 'for', 'class', 'org.apache.hadoop.mapreduce.jobhistory.jobhistoryeventhandler', ['registering', 'class', ' <*>', 'for', 'class', ' <*>'], 'E23']
