['0', 'session', 'closed', 'for', 'user', 'root', ['session', 'closed', 'for', 'user', 'root'], 'E0']
['70', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['71', 'synchronized', 'to', '10.100.28.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['75', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['76', 'synchronized', 'to', '10.100.24.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['83', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['90', 'synchronized', 'to', '10.100.26.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['91', 'synchronized', 'to', '10.100.26.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['102', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['105', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['110', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['119', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['125', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['135', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['144', 'synchronized', 'to', '10.100.30.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['146', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['150', 'synchronized', 'to', '10.100.30.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['151', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['154', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['155', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['156', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['163', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['169', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['174', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['175', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['176', 'synchronized', 'to', '10.100.28.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['178', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['179', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['181', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['185', 'synchronized', 'to', '10.100.24.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['202', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['220', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['221', 'synchronized', 'to', '10.100.30.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['223', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['226', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['230', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['232', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['236', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['242', 'synchronized', 'to', '10.100.30.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['245', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['246', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['250', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['255', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['261', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['262', 'synchronized', 'to', '10.100.28.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['267', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['269', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['272', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['273', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['274', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['275', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['279', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['280', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['283', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['289', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['291', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['300', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['302', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['303', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['307', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['308', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['312', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['317', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['318', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['324', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['329', 'synchronized', 'to', '10.100.14.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['332', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['345', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['348', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['351', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['356', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['358', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['360', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['364', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['365', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['367', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['368', 'synchronized', 'to', '10.100.24.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['373', 'synchronized', 'to', '10.100.28.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['376', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['378', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['380', 'synchronized', 'to', '10.100.12.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['382', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['383', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['388', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['389', 'synchronized', 'to', '10.100.28.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['392', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['395', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['397', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['398', 'synchronized', 'to', '10.100.14.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['402', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['407', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['408', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['410', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['412', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['417', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['418', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['419', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['420', 'synchronized', 'to', '10.100.30.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['423', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['424', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['428', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['429', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['431', 'synchronized', 'to', '10.100.28.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['432', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['433', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['434', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['439', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['443', 'synchronized', 'to', '10.100.28.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['446', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['451', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['452', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['454', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['455', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['456', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['457', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['460', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['467', 'synchronized', 'to', '10.100.26.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['469', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['472', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['478', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['479', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['482', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['483', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['484', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['485', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['487', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['488', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['489', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['490', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['491', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['493', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['496', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['499', 'synchronized', 'to', '10.100.14.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['500', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['501', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['503', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['504', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['505', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['506', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['509', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['510', 'synchronized', 'to', '10.100.28.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['512', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['513', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['517', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['521', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['522', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['523', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['524', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['525', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['527', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['528', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['529', 'synchronized', 'to', '10.100.28.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['533', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['538', 'synchronized', 'to', '10.100.24.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['539', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['540', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['542', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['546', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['547', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['548', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['552', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['554', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['559', 'synchronized', 'to', '10.100.16.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['566', 'synchronized', 'to', '10.100.30.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['569', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['570', 'synchronized', 'to', '10.100.28.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['573', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['576', 'synchronized', 'to', '10.100.18.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['577', 'synchronized', 'to', '10.100.28.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['579', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['583', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['585', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['593', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['594', 'synchronized', 'to', '10.100.20.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['595', 'synchronized', 'to', '10.100.22.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
['596', 'synchronized', 'to', '10.100.28.250', 'stratum', '3', ['synchronized', 'to', ' <*>', 'stratum', ' <*>'], 'E1']
